GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "48000","Texas",6,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",38574952,42497001,46116225,51173430,58113014,65532274,74746690,84227582,93978608,108293275,124674852,143179438,168206050,185427375,198102234,216621133,233449005,238841027,242766096,258008140,275613291,297664403,311648483,336384637,356047525,376212519,402352739,432484526,472267790,514882580,543797610,591738336,631080209,639443134,664814928,696381313,754775858,827439656,878902412,968499295,923470728,982052761,1074857967,1142887491,1173747415,1257639593,1281170135,1276330590,1367826004,1463789844,1536596995,1611228255,1789719416,1879419645
 "48000","Texas",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",11045000,11236772,11509640,11758760,12018970,12267865,12568182,12903268,13191790,13497726,13887312,14338208,14746318,15331408,15751674,16007088,16272722,16561103,16621767,16667040,16806729,17056755,17398005,17759738,18161612,18564062,18958751,19340342,19740317,20157531,20558220,20944499,21319622,21690325,22030931,22394023,22778123,23359580,23831983,24309039,24801761,25238863,25630063,26055816,26438164,26907878,27399070,27830020,28192251,28510878,28857754,29232474,29558864,30029572
 "48000","Texas",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3493,3782,4007,4352,4835,5342,5947,6528,7124,8023,8978,9986,11407,12095,12577,13533,14346,14422,14605,15480,16399,17451,17913,18941,19604,20266,21223,22362,23924,25543,26452,28253,29601,29481,30176,31097,33136,35422,36879,39841,37234,38910,41937,43863,44396,46739,46760,45862,48518,51341,53247,55118,60548,62586
 "48001","Anderson, TX",6,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",75464,81737,89499,96277,111621,128531,152014,169370,189684,219009,247819,288769,351120,414046,437873,463652,485226,492730,499944,529676,568169,586062,615497,651254,677475,729442,781848,823566,863915,913820,934232,999584,1039072,1060394,1099871,1140143,1210678,1292730,1404938,1523620,1501212,1594556,1675949,1735977,1759069,1816532,1848282,1897186,1922529,1994694,2089200,2268057,2514011,2547260
 "48001","Anderson, TX",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",28708,28012,29457,30684,30649,30901,32149,33462,34760,36546,37968,38874,40730,41873,44378,45215,46020,46495,46256,48084,48602,47980,48284,48618,49763,50729,53094,53510,54051,54290,54876,55062,54263,54740,56068,56245,56873,57386,57870,57963,58410,58501,58415,58094,58009,57882,57707,57644,58288,58201,57884,57926,58233,58064
 "48001","Anderson, TX",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2629,2918,3038,3138,3642,4159,4728,5062,5457,5993,6527,7428,8621,9888,9867,10254,10544,10597,10808,11016,11690,12215,12747,13395,13614,14379,14726,15391,15983,16832,17024,18154,19149,19371,19617,20271,21287,22527,24277,26286,25701,27257,28690,29882,30324,31383,32029,32912,32983,34273,36093,39154,43172,43870
 "48003","Andrews, TX",6,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",37335,40614,47883,43380,50717,59795,72421,82569,95344,104092,115271,131964,174603,204076,210861,221814,225586,203205,194351,189067,199064,207397,209227,219162,224849,230008,229804,234761,251880,250015,246223,267582,299771,301119,325582,347005,382495,437161,475831,571197,500823,547893,664771,780096,847489,944107,816698,715492,794764,918436,980968,907707,951535,995967
 "48003","Andrews, TX",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",9307,10450,10993,11146,10582,10751,11676,11885,12021,12418,12792,13482,14076,15142,15742,15752,16345,16509,15329,14968,14476,14270,14404,14324,13963,13953,13723,13583,13563,13594,13225,12949,12856,13022,12976,13006,13016,13195,13513,14099,14601,14844,15361,16053,16699,17322,17928,17622,17424,17858,18581,18617,18411,18334
 "48003","Andrews, TX",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4011,3887,4356,3892,4793,5562,6203,6947,7931,8382,9011,9788,12404,13477,13395,14082,13802,12309,12679,12631,13751,14534,14526,15300,16103,16484,16746,17283,18571,18392,18618,20664,23318,23124,25091,26680,29387,33131,35213,40513,34301,36910,43277,48595,50751,54503,45554,40602,45613,51430,52794,48757,51683,54323
 "48005","Angelina, TX",6,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",147461,162768,180117,205523,228128,260029,297976,336458,379338,445431,505635,559090,637936,703196,728774,790546,839740,871618,862048,928388,991285,1047177,1116219,1171489,1232417,1306970,1387836,1465377,1540379,1640386,1687371,1801170,1913137,1975900,2060060,2138825,2232346,2393918,2535517,2694978,2658242,2770118,2952293,3100572,3043814,3242981,3317528,3221272,3254921,3365850,3456340,3709022,4072361,4118195
