GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "39000","Ohio",3,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",41801043,44141934,46980368,50967906,56552390,61925206,66162182,72597505,80397208,88854711,98139943,107224402,116584437,122010409,129165178,142495944,151344813,158418410,165483900,178136781,191537126,202968115,207868447,221074852,230183648,243075206,254778303,266670184,282198968,298491358,307407038,323812505,333209250,338462533,348428738,361752998,371633835,390090034,406786493,422085747,410350426,422204427,449923823,466162071,473218777,492475624,511339811,521622549,541289443,562522960,582400407,623835973,670872723,679232967
 "39000","Ohio",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",10563000,10668839,10734782,10746920,10767205,10765613,10770498,10752731,10771232,10795431,10798562,10800650,10788336,10757085,10737631,10737743,10734926,10730272,10760081,10798554,10829216,10864162,10945762,11029431,11101140,11152454,11202751,11242827,11277357,11311536,11335454,11363543,11387404,11407889,11434788,11452251,11463320,11481213,11500468,11515391,11528896,11541886,11557958,11573024,11611630,11648446,11674128,11701886,11737605,11762842,11788547,11797517,11764342,11756058
 "39000","Ohio",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3957,4137,4376,4743,5252,5752,6143,6752,7464,8231,9088,9928,10807,11342,12029,13271,14098,14764,15379,16496,17687,18682,18991,20044,20735,21796,22742,23719,25024,26388,27119,28496,29261,29669,30471,31588,32419,33976,35371,36654,35593,36580,38928,40280,40754,42278,43801,44576,46116,47822,49404,52879,57026,57777
 "39001","Adams, OH",3,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",45225,49973,51099,56146,63533,73512,79229,86153,99251,111124,125518,141879,164105,178572,171648,200975,220220,221148,232420,250371,272291,290540,301337,337932,350002,374371,389289,418012,452261,495544,514333,556008,590431,581309,602424,638461,636533,656204,694146,713817,724214,740867,799561,795035,810339,846698,882673,890385,923565,956272,981866,1095850,1211290,1190867
 "39001","Adams, OH",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",18895,19117,19870,20687,21847,22525,22247,23178,23546,23933,23977,24351,24388,24459,24111,23861,24118,24306,24688,24887,25206,25411,25731,26044,26299,26550,26823,27273,27291,27422,27422,27317,27522,27817,28111,28328,28522,28615,28538,28686,28500,28528,28443,28268,28057,28023,27874,27763,27686,27615,27562,27440,27513,27420
 "39001","Adams, OH",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2393,2614,2572,2714,2908,3264,3561,3717,4215,4643,5235,5826,6729,7301,7119,8423,9131,9098,9414,10060,10803,11434,11711,12975,13309,14101,14513,15327,16572,18071,18756,20354,21453,20898,21430,22538,22317,22932,24324,24884,25411,25970,28111,28125,28882,30214,31667,32071,33359,34629,35624,39936,44026,43431
 "39003","Allen, OH",3,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",415181,439385,465872,489289,554243,607835,647153,699455,775298,861705,953508,1035392,1097890,1147231,1224202,1384845,1466200,1547640,1580497,1666276,1748877,1815215,1853854,1978732,1992481,2111086,2164957,2220759,2294809,2438526,2551630,2681099,2722876,2781077,2861863,2929571,2995795,3139303,3299915,3398905,3408781,3506072,3635585,3720653,3708589,3844389,3948314,4025272,4145841,4306723,4419491,4794131,5079044,5075440
 "39003","Allen, OH",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",110340,111084,111437,110643,110245,110637,110806,109853,110465,109828,111247,112188,111726,109826,108936,109642,109601,109755,110123,110518,110270,109841,109916,110242,110262,110138,109841,109573,109150,108599,108192,108589,108523,108518,107418,106826,106861,106716,106717,106773,106518,106345,105995,105277,105108,104935,104201,103763,103258,102843,102558,102107,101792,101115
 "39003","Allen, OH",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3763,3955,4181,4422,5027,5494,5840,6367,7018,7846,8571,9229,9827,10446,11238,12631,13378,14101,14352,15077,15860,16526,16866,17949,18070,19168,19710,20267,21024,22454,23584,24690,25090,25628,26642,27424,28035,29417,30922,31833,32002,32969,34300,35342,35284,36636,37891,38793,40150,41877,43093,46952,49896,50195
 "39005","Ashland, OH",3,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",146389,157435,173752,186965,208863,231357,248503,275982,303472,339832,379852,413929,449693,459668,488900,543174,563428,592805,618639,649823,694866,729186,750338,817694,858717,918131,946297,980118,1048017,1111084,1131679,1189193,1245125,1266981,1308454,1353971,1397611,1435616,1517827,1579006,1534105,1575025,1677936,1684859,1760373,1822669,1877169,1897722,1975000,2054207,2056726,2321859,2473069,2458688
