GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "13000","Georgia",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",14980053,16310397,18009654,20206129,22848185,25067819,27084317,30146592,33332134,37818959,42320346,47202071,53425141,57837878,63391355,71797631,78653685,85815039,92176403,100730745,108528867,116127930,121970784,131894417,140056533,150802631,162763562,175804576,187175782,205294013,218718588,236616760,248742489,255977173,265622803,280462397,297084940,316548828,331363663,335257508,329158884,337420548,360456247,369040241,374124564,398585712,423242013,441039056,467592473,491087953,516552121,552248854,606113593,617552988
 "13000","Georgia",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",4551000,4605421,4710272,4807151,4906940,4994870,5058535,5126155,5211771,5286148,5391265,5486174,5568346,5649788,5728248,5834943,5962639,6084645,6208479,6316139,6411117,6512602,6653005,6817203,6978240,7157165,7328413,7501069,7685099,7863536,8045965,8227303,8377038,8508256,8622793,8769252,8925922,9155813,9349988,9504843,9620846,9712576,9805488,9906963,9980513,10077700,10191467,10318225,10428498,10532566,10642947,10729828,10788029,10912876
 "13000","Georgia",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3292,3542,3823,4203,4656,5019,5354,5881,6396,7154,7850,8604,9594,10237,11066,12305,13191,14104,14847,15948,16928,17831,18333,19347,20070,21070,22210,23437,24356,26107,27184,28760,29693,30086,30805,31982,33283,34574,35440,35272,34213,34741,36761,37251,37486,39551,41529,42744,44838,46626,48535,51469,56184,56589
 "13001","Appling, GA",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",26143,31043,36680,46767,54911,56580,64640,70875,69901,86607,88483,91871,116844,129581,135878,159170,156851,172414,172440,176616,186598,192554,213322,225065,237435,267440,275620,289951,302687,311546,327097,341723,343701,343892,365105,377999,395331,397327,422081,442508,455228,470776,507365,512348,526909,554812,581190,585298,612792,626924,658188,718738,786029,803501
 "13001","Appling, GA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",12457,12827,13341,13647,14376,14546,14765,15185,15536,15527,15205,15529,15362,15601,15787,15977,15857,15745,15719,15814,15749,15776,16020,16172,16273,16323,16540,16728,16892,17116,17323,17396,17455,17502,17732,17740,17769,17725,17985,18133,18144,18339,18473,18406,18402,18514,18475,18508,18522,18624,18484,18366,18411,18428
 "13001","Appling, GA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2099,2420,2749,3427,3820,3890,4378,4667,4499,5578,5819,5916,7606,8306,8607,9962,9892,10950,10970,11168,11848,12206,13316,13917,14591,16384,16664,17333,17919,18202,18882,19644,19691,19649,20590,21308,22248,22416,23469,24403,25090,25671,27465,27836,28633,29967,31458,31624,33085,33662,35609,39134,42693,43602
 "13003","Atkinson, GA",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",11802,12392,13820,16037,19732,21180,23319,24842,24009,29668,31673,33426,41939,48354,50839,57726,58456,63154,64710,71726,77628,80221,83193,92034,96246,110303,118208,126328,128744,134952,142396,136679,143397,144293,155253,163536,172793,172412,176755,191415,188077,181798,197119,198671,206643,211747,226479,221251,237940,241611,249313,268353,294289,299679
 "13003","Atkinson, GA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",5969,5826,5706,5799,5932,5957,6008,6091,6124,6187,6085,6151,6180,6177,6132,6196,6332,6373,6298,6265,6231,6223,6240,6330,6579,6718,6914,7160,7373,7408,7575,7591,7641,7748,7990,7985,8096,8197,8346,8366,8386,8361,8348,8235,8235,8175,8285,8238,8194,8271,8188,8311,8358,8183
 "13003","Atkinson, GA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",1977,2127,2422,2765,3326,3555,3881,4078,3920,4795,5205,5434,6786,7828,8291,9317,9232,9910,10275,11449,12458,12891,13332,14539,14629,16419,17097,17644,17462,18217,18798,18005,18767,18623,19431,20480,21343,21034,21178,22880,22427,21744,23613,24125,25093,25902,27336,26857,29038,29212,30449,32289,35210,36622
 "13005","Bacon, GA",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",19623,22381,24858,27861,31399,36941,37802,39430,41530,49189,51128,55991,63191,66365,70861,81762,85902,93617,101652,111126,117293,120838,130367,139137,145835,157187,166100,174277,175650,186771,190118,198677,205739,198883,209963,217990,226596,227137,242523,260372,264754,271576,296335,296724,302570,316828,328452,336771,350888,349552,360973,415977,432401,447330
