GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "16000","Idaho",7,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",2390991,2647659,2894151,3304340,3820515,4497360,4866714,5436242,5942337,6829893,7467508,8395933,9233932,9694146,10599659,11280397,11923428,12165634,12674389,13747994,15124499,16343258,17199171,18881868,20689524,22134238,23788606,25263805,26370017,28498090,30180128,32667002,34059367,35213859,36454932,39386688,41724669,45887687,48853509,50157363,48498805,50201889,53076546,55719818,57790643,60896989,64564307,67294067,71472616,76529572,83019410,91888534,103113985,109775862
 "16000","Idaho",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",707000,717255,738749,763229,782061,807973,831981,856979,883446,910962,932636,947983,962204,973719,981866,990841,994052,990222,984997,985661,994422,1012384,1041316,1071685,1108768,1145140,1177322,1203083,1228520,1252330,1275674,1299430,1319962,1340372,1363380,1391802,1428241,1468669,1505105,1534320,1554439,1571266,1586530,1600013,1618042,1640181,1662421,1696089,1734030,1768643,1808039,1849202,1904314,1939033
 "16000","Idaho",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3382,3691,3918,4329,4885,5566,5850,6343,6726,7497,8007,8857,9597,9956,10795,11385,11995,12286,12867,13948,15209,16143,16517,17619,18660,19329,20206,20999,21465,22756,23658,25139,25803,26272,26739,28299,29214,31244,32459,32690,31200,31950,33454,34825,35716,37128,38838,39676,41218,43270,45917,49691,54148,56614
 "16001","Ada, ID",7,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",450465,512191,578499,654743,745922,862053,1014982,1158730,1325478,1546456,1708437,1897946,2088419,2237730,2407123,2644812,2866496,2956417,3127479,3462379,3825411,4159613,4498764,5077799,5680478,6404026,6984977,7363032,7774469,8519880,9298686,10519304,10597350,11061397,11426039,12331882,13090389,14668976,15151320,15111021,14710381,15105928,15956814,16859361,17731311,19030664,20257779,21158978,22697589,24450290,26328997,28973682,32884534,35054504
 "16001","Ada, ID",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",110299,112998,117830,123135,129727,135542,141060,147335,154515,162278,168779,174090,177613,180481,182911,186280,189811,191039,192926,195508,200950,207722,216798,225266,236477,247225,256860,266290,274325,284946,294292,303328,313896,321616,327393,334926,348755,363498,375368,382618,388577,393444,401731,409727,417202,427131,434962,446983,459432,472035,485166,498260,512914,518907
 "16001","Ada, ID",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4084,4533,4910,5317,5750,6360,7195,7865,8578,9530,10122,10902,11758,12399,13160,14198,15102,15475,16211,17710,19037,20025,20751,22541,24021,25904,27194,27650,28340,29900,31597,34680,33761,34393,34900,36820,37535,40355,40364,39494,37857,38394,39720,41148,42501,44555,46574,47337,49404,51798,54268,58150,64113,67555
 "16003","Adams, ID",7,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",11201,11009,12093,14064,15310,18412,19888,22979,23524,27476,30122,30497,32045,33771,36486,41217,40645,38306,41524,44909,45688,45482,46842,51043,55282,57897,58965,61098,65489,69726,71810,76411,75799,82413,85315,94693,98904,104716,111149,114347,108882,109972,115100,118144,120128,126956,133816,141384,141378,150698,165971,175330,196855,210649
 "16003","Adams, ID",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",2872,2880,2880,3006,3088,3174,3169,3090,3244,3341,3370,3333,3276,3237,3315,3413,3372,3380,3196,3321,3223,3257,3306,3457,3583,3692,3676,3693,3572,3531,3517,3477,3495,3559,3624,3693,3817,3788,3949,4021,4000,3962,3978,3903,3860,3877,3882,3933,4114,4198,4246,4425,4632,4817
 "16003","Adams, ID",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3900,3823,4199,4679,4958,5801,6276,7437,7252,8224,8938,9150,9782,10433,11006,12076,12054,11333,12992,13523,14176,13964,14169,14765,15429,15682,16041,16544,18334,19747,20418,21976,21688,23156,23542,25641,25911,27644,28146,28437,27220,27757,28934,30270,31121,32746,34471,35948,34365,35898,39089,39623,42499,43730
 "16005","Bannock, ID",7,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",163243,180403,197548,221291,245415,288684,332065,389601,428435,484031,533753,578076,624850,665310,709740,744211,804483,799475,813913,849444,910148,959278,1026245,1113760,1197963,1259376,1324636,1392096,1451699,1532893,1575599,1644533,1727015,1778553,1850758,1964629,2039017,2175268,2277026,2364311,2334937,2403652,2506401,2578571,2624283,2713175,2853078,2930203,3107480,3200194,3364841,3711040,4096069,4248231
